what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345017682513
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1345017682539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345017684285
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345017686732
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1345017724991
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345017737835
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345017742018
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1345017742136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345017757189
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345017900967
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1345017915876
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345017915983
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345017919259
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345018066269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345018070021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345018112755
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345018285134
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1345018384789
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1345018384904
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1345018418933
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1345018422929
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345018436058
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1345018476854
error,log,,,"Failed to load properties file for project 'IEvaluatorForEnglish500'",1345018495404
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345018495754
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1345018511933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345018514979
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345018517290
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1345018517397
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1345018532512
